src_ip,dst_ip,src_port,dst_port,protocol,service,payload_length,duration,is_malicious,attack_type,timestamp
10.0.0.2,10.0.0.13,63049,20,tcp,ftp,684,0.827,0,,2025-04-23T18:28:04.271652
10.0.0.11,10.0.0.4,65497,995,tcp,pop3,1089,0.782,0,,2025-04-23T18:21:55.273170
10.0.0.9,10.0.0.7,58199,445,tcp,smb,377,0.167,0,,2025-04-23T17:59:43.551784
10.0.0.11,10.0.0.19,62965,23,tcp,telnet,1004,0.181,0,,2025-04-23T17:51:46.935543
10.0.0.7,10.0.0.13,59041,123,udp,ntp,584,0.691,0,,2025-04-23T18:09:21.960715
10.0.0.4,10.0.0.8,63077,1433,tcp,db,550,0.693,0,,2025-04-23T18:29:52.906416
10.0.0.19,10.0.0.19,58604,53,udp,dns,1312,0.828,1,,2025-04-23T18:22:54.489789
10.0.0.12,10.0.0.10,49958,23,tcp,telnet,905,0.031,0,,2025-04-23T17:38:48.638336
10.0.0.14,10.0.0.10,54143,8443,tcp,web,1075,0.79,0,,2025-04-23T17:47:35.776571
10.0.0.8,10.0.0.8,64133,443,tcp,web,1421,0.912,0,,2025-04-23T17:33:47.081948
10.0.0.14,10.0.0.7,57379,23,tcp,telnet,203,0.025,1,,2025-04-23T17:54:38.113034
10.0.0.14,10.0.0.13,64320,3389,tcp,rdp,206,0.013,1,,2025-04-23T18:15:52.346652
10.0.0.5,10.0.0.1,57147,20,tcp,ftp,316,0.838,0,,2025-04-23T17:40:37.366255
10.0.0.20,10.0.0.20,57616,3389,tcp,rdp,773,0.069,0,,2025-04-23T17:46:33.236761
10.0.0.17,10.0.0.9,49417,22,tcp,ssh,694,0.858,0,,2025-04-23T17:59:41.106169
10.0.0.7,10.0.0.13,62695,8080,tcp,web,217,0.376,0,,2025-04-23T18:09:41.921780
10.0.0.4,10.0.0.18,54752,123,udp,ntp,1043,0.341,0,,2025-04-23T17:39:55.883317
10.0.0.11,10.0.0.2,55066,587,tcp,smtp,600,0.982,1,,2025-04-23T17:35:52.717232
10.0.0.9,10.0.0.7,60524,123,udp,ntp,743,0.37,0,,2025-04-23T18:12:45.432058
10.0.0.2,10.0.0.8,61892,5432,tcp,db,1201,0.277,0,,2025-04-23T18:25:25.994348
10.0.0.3,10.0.0.5,54446,23,tcp,telnet,1137,0.42,0,,2025-04-23T18:16:00.488099
10.0.0.7,10.0.0.18,52739,53,udp,dns,1002,0.986,0,,2025-04-23T17:52:55.921542
10.0.0.18,10.0.0.2,63509,25,tcp,smtp,809,0.141,0,,2025-04-23T18:11:20.970006
10.0.0.4,10.0.0.18,51868,8443,tcp,web,218,0.724,0,,2025-04-23T17:36:49.751892
10.0.0.20,10.0.0.4,65191,53,udp,dns,552,0.052,1,,2025-04-23T18:09:39.539542
10.0.0.14,10.0.0.9,51746,587,tcp,smtp,1085,0.739,0,,2025-04-23T17:38:05.229121
10.0.0.2,10.0.0.16,56525,143,tcp,imap,824,0.645,0,,2025-04-23T18:13:48.287549
10.0.0.4,10.0.0.2,51569,5432,tcp,db,903,0.253,0,,2025-04-23T18:24:44.223820
10.0.0.9,10.0.0.13,51080,23,tcp,telnet,1144,0.48,0,,2025-04-23T17:57:18.734289
10.0.0.3,10.0.0.6,56322,53,udp,dns,1411,0.183,0,,2025-04-23T18:15:27.376473
10.0.0.10,10.0.0.9,54405,22,tcp,ssh,297,0.185,0,,2025-04-23T17:39:37.617731
10.0.0.19,10.0.0.5,51201,587,tcp,smtp,356,0.714,0,,2025-04-23T18:07:46.967241
10.0.0.5,10.0.0.11,64832,53,udp,dns,1355,0.009,1,,2025-04-23T18:24:44.427051
10.0.0.18,10.0.0.11,60995,53,udp,dns,301,0.972,0,,2025-04-23T17:46:44.833884
10.0.0.8,10.0.0.9,49402,23,tcp,telnet,72,0.447,0,,2025-04-23T17:53:42.608131
10.0.0.20,10.0.0.18,59068,5432,tcp,db,1167,0.619,0,,2025-04-23T18:12:04.208781
10.0.0.18,10.0.0.4,58246,123,udp,ntp,1386,0.002,1,,2025-04-23T17:45:15.830522
10.0.0.15,10.0.0.15,62553,123,udp,ntp,162,0.114,0,,2025-04-23T18:15:34.842095
10.0.0.9,10.0.0.6,54782,21,tcp,ftp,747,0.287,0,,2025-04-23T17:44:17.487373
10.0.0.10,10.0.0.10,50397,3389,tcp,rdp,167,0.756,0,,2025-04-23T18:06:17.285856
10.0.0.18,10.0.0.19,61636,123,udp,ntp,1354,0.22,0,,2025-04-23T18:07:05.618851
10.0.0.10,10.0.0.12,61831,3306,tcp,db,684,0.252,0,,2025-04-23T18:12:02.845473
10.0.0.19,10.0.0.1,56392,443,tcp,web,86,0.016,1,,2025-04-23T18:07:53.980300
10.0.0.7,10.0.0.12,55264,3389,tcp,rdp,403,0.641,1,,2025-04-23T18:19:44.816726
10.0.0.3,10.0.0.12,54409,23,tcp,telnet,1371,0.644,0,,2025-04-23T17:34:50.240163
10.0.0.18,10.0.0.14,57115,995,tcp,pop3,521,0.544,0,,2025-04-23T17:39:26.681800
10.0.0.20,10.0.0.20,62645,20,tcp,ftp,1339,0.293,0,,2025-04-23T18:04:49.013212
10.0.0.2,10.0.0.3,52973,22,tcp,ssh,345,0.601,0,,2025-04-23T18:22:41.194056
10.0.0.16,10.0.0.8,60098,53,udp,dns,643,0.867,1,,2025-04-23T18:02:02.177552
10.0.0.6,10.0.0.1,58127,995,tcp,pop3,1176,0.621,0,,2025-04-23T17:56:47.927469
10.0.0.11,10.0.0.19,55102,443,tcp,web,858,0.704,0,,2025-04-23T18:27:38.338895
10.0.0.10,10.0.0.3,59963,22,tcp,ssh,143,0.398,0,,2025-04-23T18:05:39.197360
10.0.0.14,10.0.0.14,64942,123,udp,ntp,578,0.913,0,,2025-04-23T18:15:06.199798
10.0.0.6,10.0.0.19,57439,110,tcp,pop3,1474,0.345,0,,2025-04-23T18:00:14.218346
10.0.0.1,10.0.0.9,57783,21,tcp,ftp,704,0.965,0,,2025-04-23T17:37:14.589946
10.0.0.7,10.0.0.2,53351,123,udp,ntp,819,0.451,1,,2025-04-23T18:13:08.730991
10.0.0.11,10.0.0.8,56428,993,tcp,imap,72,0.661,0,,2025-04-23T17:56:36.497679
10.0.0.17,10.0.0.7,51689,22,tcp,ssh,1468,0.131,1,,2025-04-23T17:48:43.035117
10.0.0.1,10.0.0.7,63003,53,udp,dns,672,0.171,0,,2025-04-23T18:03:36.019787
10.0.0.13,10.0.0.18,63797,587,tcp,smtp,1476,0.075,0,,2025-04-23T17:41:41.002194
10.0.0.16,10.0.0.13,57504,22,tcp,ssh,482,0.35,0,,2025-04-23T18:05:27.960432
10.0.0.12,10.0.0.8,61915,25,tcp,smtp,1460,0.004,0,,2025-04-23T18:15:55.224190
10.0.0.17,10.0.0.17,55860,22,tcp,ssh,1124,0.17,0,,2025-04-23T18:11:33.845432
10.0.0.10,10.0.0.16,61106,53,udp,dns,950,0.824,0,,2025-04-23T18:10:38.657185
10.0.0.8,10.0.0.16,51399,110,tcp,pop3,1377,0.05,0,,2025-04-23T17:58:52.780484
10.0.0.6,10.0.0.10,50434,110,tcp,pop3,1202,0.015,0,,2025-04-23T18:12:29.160076
10.0.0.12,10.0.0.17,53487,21,tcp,ftp,1172,0.418,1,,2025-04-23T18:21:43.065184
10.0.0.9,10.0.0.4,54531,123,udp,ntp,1419,0.219,0,,2025-04-23T18:10:59.352981
10.0.0.11,10.0.0.8,61468,53,udp,dns,66,0.074,1,,2025-04-23T18:08:43.330215
10.0.0.14,10.0.0.14,54403,123,udp,ntp,1224,0.283,0,,2025-04-23T18:29:36.504328
10.0.0.6,10.0.0.19,52271,445,tcp,smb,904,0.381,1,,2025-04-23T18:03:43.164253
10.0.0.16,10.0.0.13,51264,23,tcp,telnet,94,0.873,0,,2025-04-23T17:35:48.007618
10.0.0.7,10.0.0.15,51089,993,tcp,imap,501,0.91,0,,2025-04-23T17:56:18.113031
10.0.0.12,10.0.0.16,51478,3389,tcp,rdp,443,0.017,0,,2025-04-23T18:05:49.946529
10.0.0.11,10.0.0.6,63818,993,tcp,imap,815,0.97,0,,2025-04-23T18:18:43.061988
10.0.0.8,10.0.0.11,64361,23,tcp,telnet,1365,0.592,0,,2025-04-23T17:41:17.806672
10.0.0.9,10.0.0.13,63877,995,tcp,pop3,175,0.403,1,,2025-04-23T18:04:11.059980
10.0.0.6,10.0.0.9,58644,20,tcp,ftp,1271,0.991,0,,2025-04-23T17:46:00.640618
10.0.0.16,10.0.0.11,60918,110,tcp,pop3,1300,0.026,0,,2025-04-23T17:31:01.030561
10.0.0.19,10.0.0.4,65264,445,tcp,smb,556,0.289,0,,2025-04-23T18:10:52.716885
10.0.0.13,10.0.0.5,58686,995,tcp,pop3,758,0.454,0,,2025-04-23T17:34:27.381057
10.0.0.16,10.0.0.7,52914,53,udp,dns,388,0.176,0,,2025-04-23T17:49:41.042814
10.0.0.11,10.0.0.10,59591,22,tcp,ssh,810,0.531,0,,2025-04-23T17:34:39.643383
10.0.0.19,10.0.0.3,65490,22,tcp,ssh,347,0.05,0,,2025-04-23T17:54:31.765224
10.0.0.15,10.0.0.11,50265,23,tcp,telnet,1438,0.036,0,,2025-04-23T18:16:33.061852
10.0.0.2,10.0.0.2,61458,587,tcp,smtp,691,0.909,0,,2025-04-23T17:33:58.418689
10.0.0.4,10.0.0.12,53079,20,tcp,ftp,559,0.341,0,,2025-04-23T17:42:44.873461
10.0.0.1,10.0.0.3,51248,445,tcp,smb,676,0.174,0,,2025-04-23T18:24:30.503466
10.0.0.2,10.0.0.13,53690,53,udp,dns,1370,0.384,1,,2025-04-23T18:26:40.804444
10.0.0.19,10.0.0.19,63892,22,tcp,ssh,127,0.295,1,,2025-04-23T18:26:06.541157
10.0.0.1,10.0.0.2,50622,21,tcp,ftp,1335,0.863,0,,2025-04-23T18:29:49.812064
10.0.0.19,10.0.0.5,51012,110,tcp,pop3,476,0.997,0,,2025-04-23T18:21:03.605489
10.0.0.9,10.0.0.20,51880,443,tcp,web,1472,0.239,0,,2025-04-23T17:43:06.853474
10.0.0.16,10.0.0.10,52450,22,tcp,ssh,1410,0.377,0,,2025-04-23T17:53:00.402842
10.0.0.14,10.0.0.12,62610,1433,tcp,db,531,0.906,0,,2025-04-23T17:47:47.169483
10.0.0.1,10.0.0.6,50156,3389,tcp,rdp,1389,0.781,0,,2025-04-23T17:49:16.901674
10.0.0.19,10.0.0.20,52800,22,tcp,ssh,973,0.492,0,,2025-04-23T17:51:06.309218
10.0.0.12,10.0.0.15,62388,53,udp,dns,877,0.346,0,,2025-04-23T17:52:18.966983
10.0.0.7,10.0.0.20,54253,110,tcp,pop3,1463,0.963,0,,2025-04-23T17:58:26.597944
10.0.0.5,10.0.0.8,51410,110,tcp,pop3,1315,0.037,1,,2025-04-23T18:13:47.818237
10.0.0.16,10.0.0.19,62671,23,tcp,telnet,837,0.279,0,,2025-04-23T18:06:38.845619
10.0.0.16,10.0.0.6,49248,3389,tcp,rdp,340,0.982,0,,2025-04-23T17:56:48.697516
10.0.0.7,10.0.0.14,62672,8443,tcp,web,1454,0.338,0,,2025-04-23T18:08:42.321104
10.0.0.7,10.0.0.8,58975,993,tcp,imap,397,0.896,1,,2025-04-23T18:02:06.077739
10.0.0.6,10.0.0.20,50839,20,tcp,ftp,1400,0.406,0,,2025-04-23T18:16:35.011700
10.0.0.9,10.0.0.20,51795,5432,tcp,db,1425,0.09,1,,2025-04-23T17:44:36.795032
10.0.0.12,10.0.0.6,56193,23,tcp,telnet,422,0.378,0,,2025-04-23T18:13:34.042314
10.0.0.1,10.0.0.20,60813,25,tcp,smtp,844,0.854,0,,2025-04-23T18:03:37.674722
10.0.0.9,10.0.0.10,49989,993,tcp,imap,1455,0.901,0,,2025-04-23T18:28:16.487476
10.0.0.15,10.0.0.4,62570,123,udp,ntp,344,0.049,0,,2025-04-23T18:08:39.598999
10.0.0.20,10.0.0.4,50887,587,tcp,smtp,928,0.786,1,,2025-04-23T17:50:22.842650
10.0.0.11,10.0.0.6,56440,23,tcp,telnet,1075,0.637,1,,2025-04-23T18:09:20.854299
10.0.0.1,10.0.0.18,63815,445,tcp,smb,311,0.498,1,,2025-04-23T17:55:17.419424
10.0.0.19,10.0.0.9,60271,587,tcp,smtp,1379,0.816,0,,2025-04-23T18:05:58.244438
10.0.0.8,10.0.0.6,60222,80,tcp,web,1016,0.538,0,,2025-04-23T17:43:44.914168
10.0.0.20,10.0.0.7,57549,8443,tcp,web,883,0.677,1,,2025-04-23T18:05:12.180446
10.0.0.19,10.0.0.6,55720,123,udp,ntp,153,0.006,0,,2025-04-23T17:57:55.769038
10.0.0.20,10.0.0.19,51959,123,udp,ntp,634,0.678,0,,2025-04-23T18:14:45.220447
10.0.0.3,10.0.0.20,50317,20,tcp,ftp,504,0.799,0,,2025-04-23T18:26:06.966143
10.0.0.3,10.0.0.9,63398,22,tcp,ssh,198,0.889,0,,2025-04-23T18:15:41.411569
10.0.0.16,10.0.0.10,59702,443,tcp,web,887,0.309,0,,2025-04-23T17:33:21.014052
10.0.0.3,10.0.0.4,61485,587,tcp,smtp,1101,0.498,1,,2025-04-23T17:45:32.146000
10.0.0.1,10.0.0.14,57575,20,tcp,ftp,1339,0.188,0,,2025-04-23T18:02:53.665278
10.0.0.4,10.0.0.14,52588,21,tcp,ftp,429,0.769,0,,2025-04-23T17:49:49.864446
10.0.0.13,10.0.0.7,53932,53,udp,dns,459,0.635,0,,2025-04-23T17:43:52.872668
10.0.0.1,10.0.0.15,53773,22,tcp,ssh,118,0.883,0,,2025-04-23T18:25:38.962535
10.0.0.15,10.0.0.18,60964,995,tcp,pop3,97,0.562,1,,2025-04-23T18:09:48.019266
10.0.0.9,10.0.0.18,56737,995,tcp,pop3,1282,0.639,0,,2025-04-23T18:06:27.662344
10.0.0.15,10.0.0.3,53850,25,tcp,smtp,1426,0.386,0,,2025-04-23T17:35:24.162787
10.0.0.11,10.0.0.10,57112,993,tcp,imap,488,0.339,0,,2025-04-23T17:44:55.921511
10.0.0.4,10.0.0.9,57549,53,udp,dns,96,0.968,1,,2025-04-23T18:14:36.848980
10.0.0.4,10.0.0.6,52040,123,udp,ntp,1068,0.267,0,,2025-04-23T18:25:31.179967
10.0.0.6,10.0.0.11,49682,143,tcp,imap,720,0.158,0,,2025-04-23T17:52:56.548661
10.0.0.13,10.0.0.15,52624,5432,tcp,db,1464,0.325,0,,2025-04-23T18:00:50.302224
10.0.0.18,10.0.0.4,61316,20,tcp,ftp,571,0.127,0,,2025-04-23T17:47:00.855996
10.0.0.10,10.0.0.3,64907,23,tcp,telnet,456,0.337,0,,2025-04-23T18:04:05.266677
10.0.0.2,10.0.0.13,50327,25,tcp,smtp,1457,0.659,0,,2025-04-23T17:39:49.213974
10.0.0.19,10.0.0.9,59023,993,tcp,imap,934,0.649,1,,2025-04-23T17:53:30.121959
10.0.0.13,10.0.0.19,53924,5432,tcp,db,383,0.587,0,,2025-04-23T17:56:23.527353
10.0.0.2,10.0.0.13,60443,53,udp,dns,553,0.483,0,,2025-04-23T18:27:54.431643
10.0.0.2,10.0.0.16,55388,23,tcp,telnet,1222,0.552,0,,2025-04-23T18:01:11.851730
10.0.0.14,10.0.0.20,50150,3389,tcp,rdp,155,0.157,0,,2025-04-23T18:00:46.531605
10.0.0.1,10.0.0.10,52962,22,tcp,ssh,953,0.206,0,,2025-04-23T17:58:16.464865
10.0.0.20,10.0.0.15,55520,23,tcp,telnet,135,0.156,1,,2025-04-23T17:32:44.294749
10.0.0.15,10.0.0.19,53428,3389,tcp,rdp,454,0.943,1,,2025-04-23T18:16:12.647836
10.0.0.18,10.0.0.14,58047,23,tcp,telnet,1398,0.731,0,,2025-04-23T17:54:30.786335
10.0.0.17,10.0.0.10,62389,5432,tcp,db,1001,0.135,0,,2025-04-23T17:51:49.776165
10.0.0.2,10.0.0.2,65199,8080,tcp,web,135,0.852,1,,2025-04-23T18:19:17.800169
10.0.0.20,10.0.0.2,62686,22,tcp,ssh,1410,0.516,0,,2025-04-23T17:34:48.795151
10.0.0.13,10.0.0.4,53554,23,tcp,telnet,832,0.985,0,,2025-04-23T17:38:07.966122
10.0.0.18,10.0.0.17,62172,53,udp,dns,481,0.961,0,,2025-04-23T18:10:57.060489
10.0.0.12,10.0.0.9,55440,123,udp,ntp,695,0.368,0,,2025-04-23T18:20:37.530621
10.0.0.9,10.0.0.16,59887,445,tcp,smb,1246,0.608,0,,2025-04-23T17:35:39.822727
10.0.0.7,10.0.0.19,55654,5432,tcp,db,336,0.966,0,,2025-04-23T18:24:45.403802
10.0.0.8,10.0.0.8,51069,80,tcp,web,1147,0.779,0,,2025-04-23T18:18:54.721413
10.0.0.19,10.0.0.3,62134,445,tcp,smb,167,0.377,0,,2025-04-23T17:48:42.782902
10.0.0.2,10.0.0.6,51300,53,udp,dns,173,0.661,1,,2025-04-23T17:31:44.600799
10.0.0.12,10.0.0.18,51967,22,tcp,ssh,546,0.498,0,,2025-04-23T17:58:21.350119
10.0.0.8,10.0.0.14,65074,22,tcp,ssh,577,0.623,0,,2025-04-23T17:43:34.097308
10.0.0.20,10.0.0.18,60884,8443,tcp,web,615,0.886,1,,2025-04-23T18:06:22.946613
10.0.0.16,10.0.0.11,65233,20,tcp,ftp,648,0.638,0,,2025-04-23T18:20:58.764287
10.0.0.20,10.0.0.16,52975,445,tcp,smb,82,0.434,0,,2025-04-23T18:16:02.863018
10.0.0.16,10.0.0.5,52103,53,udp,dns,649,0.632,1,,2025-04-23T17:57:20.343581
10.0.0.1,10.0.0.12,61800,110,tcp,pop3,1212,0.922,0,,2025-04-23T18:22:13.189819
10.0.0.6,10.0.0.18,56832,20,tcp,ftp,593,0.136,1,,2025-04-23T18:07:36.322056
10.0.0.10,10.0.0.19,55762,5432,tcp,db,605,0.597,1,,2025-04-23T18:12:54.453988
10.0.0.3,10.0.0.14,65215,995,tcp,pop3,1348,0.633,1,,2025-04-23T17:35:21.727989
10.0.0.11,10.0.0.16,60263,123,udp,ntp,303,0.451,0,,2025-04-23T18:25:38.009000
10.0.0.11,10.0.0.3,54543,995,tcp,pop3,218,0.519,0,,2025-04-23T18:12:43.431159
10.0.0.8,10.0.0.18,57470,22,tcp,ssh,1109,0.32,0,,2025-04-23T17:48:46.110682
10.0.0.17,10.0.0.2,49544,23,tcp,telnet,1455,0.999,1,,2025-04-23T17:38:27.666418
10.0.0.9,10.0.0.4,49994,587,tcp,smtp,1095,0.763,1,,2025-04-23T17:52:05.902117
10.0.0.7,10.0.0.10,57891,110,tcp,pop3,758,0.204,1,,2025-04-23T18:15:10.360778
10.0.0.17,10.0.0.6,52087,123,udp,ntp,1069,0.028,1,,2025-04-23T18:13:16.889589
10.0.0.2,10.0.0.18,50321,3306,tcp,db,1362,0.866,0,,2025-04-23T18:11:04.110266
10.0.0.13,10.0.0.15,60385,20,tcp,ftp,531,0.981,0,,2025-04-23T18:08:23.491087
10.0.0.20,10.0.0.11,56031,25,tcp,smtp,379,0.312,0,,2025-04-23T17:51:27.220443
10.0.0.1,10.0.0.14,61034,5432,tcp,db,97,0.597,0,,2025-04-23T18:02:58.675062
10.0.0.12,10.0.0.13,65481,3389,tcp,rdp,1372,0.132,0,,2025-04-23T17:34:20.532768
10.0.0.6,10.0.0.13,52610,8443,tcp,web,710,0.702,0,,2025-04-23T17:59:03.039191
10.0.0.17,10.0.0.12,58159,995,tcp,pop3,277,0.987,0,,2025-04-23T18:13:54.818361
10.0.0.17,10.0.0.13,61605,25,tcp,smtp,1437,0.882,0,,2025-04-23T18:18:28.334112
10.0.0.5,10.0.0.7,51103,445,tcp,smb,1374,0.642,0,,2025-04-23T18:12:40.661810
10.0.0.10,10.0.0.8,64681,445,tcp,smb,902,0.144,0,,2025-04-23T17:35:50.797131
10.0.0.6,10.0.0.1,57006,587,tcp,smtp,800,0.611,0,,2025-04-23T17:48:33.049238
10.0.0.5,10.0.0.16,53150,5432,tcp,db,1450,0.896,0,,2025-04-23T17:38:27.616492
10.0.0.10,10.0.0.11,58573,3389,tcp,rdp,798,0.997,0,,2025-04-23T17:59:42.171344
10.0.0.6,10.0.0.2,53769,995,tcp,pop3,998,0.403,0,,2025-04-23T18:13:47.230262
10.0.0.3,10.0.0.12,62419,445,tcp,smb,614,0.439,0,,2025-04-23T17:51:03.243367
10.0.0.10,10.0.0.2,64005,993,tcp,imap,1253,0.686,1,,2025-04-23T18:26:50.139504
10.0.0.11,10.0.0.16,64215,23,tcp,telnet,203,0.815,0,,2025-04-23T17:31:48.707334
10.0.0.16,10.0.0.8,63078,443,tcp,web,762,0.402,0,,2025-04-23T18:18:28.930386
10.0.0.20,10.0.0.2,52462,8443,tcp,web,982,0.304,0,,2025-04-23T17:43:02.009989
10.0.0.13,10.0.0.2,58217,123,udp,ntp,716,0.046,1,,2025-04-23T18:02:30.307104
